x,y,tx_04,tx_74,tx_03,tx_76,partition
2,2,-74,-51,-55,-69,1
2,2,-77,-60,-55,-70,1
2,2,-81,-51,-56,-55,1
2,2,-72,-43,-54,-60,1
2,2,-70,-59,-55,-60,1
2,2,-65,-58,-55,-68,1
2,2,-75,-53,-53,-69,1
2,2,-71,-58,-56,-69,1
2,2,-69,-58,-49,-70,1
2,2,-69,-59,-49,-72,1
2,5,-65,-56,-71,-70,1
2,5,-67,-58,-56,-80,1
2,5,-70,-59,-62,-79,1
2,5,-72,-58,-50,-70,1
2,5,-79,-56,-64,-76,1
2,5,-68,-59,-69,-78,1
2,5,-75,-54,-72,-81,1
2,5,-70,-64,-65,-81,1
2,5,-80,-55,-66,-75,1
2,5,-83,-58,-58,-84,1
2,8,-64,-58,-65,-72,1
2,8,-68,-49,-64,-73,1
2,8,-72,-54,-65,-65,1
2,8,-66,-49,-68,-76,1
2,8,-65,-47,-68,-67,1
2,8,-74,-43,-64,-69,1
2,8,-72,-55,-57,-65,1
2,8,-76,-54,-54,-78,1
2,8,-76,-43,-58,-80,1
2,8,-70,-55,-58,-76,1
4,2,-77,-61,-48,-76,1
4,2,-70,-59,-54,-84,1
4,2,-68,-54,-53,-79,1
4,2,-69,-57,-51,-62,1
4,2,-74,-58,-51,-77,1
4,2,-71,-50,-51,-76,1
4,2,-75,-49,-52,-60,1
4,2,-77,-58,-51,-74,1
4,2,-76,-59,-52,-73,1
4,2,-77,-58,-51,-78,1
4,5,-73,-48,-53,-81,1
4,5,-76,-58,-59,-76,1
4,5,-78,-52,-56,-67,1
4,5,-76,-55,-56,-70,1
4,5,-75,-57,-53,-81,1
4,5,-77,-64,-56,-82,1
4,5,-80,-56,-55,-80,1
4,5,-75,-57,-55,-80,1
4,5,-68,-63,-57,-75,1
4,5,-69,-61,-57,-81,1
4,8,-59,-64,-60,-74,1
4,8,-69,-63,-66,-65,1
4,8,-66,-59,-68,-69,1
4,8,-70,-58,-65,-64,1
4,8,-69,-55,-58,-64,1
4,8,-69,-57,-78,-63,1
4,8,-62,-60,-68,-79,1
4,8,-62,-61,-62,-75,1
4,8,-63,-58,-67,-76,1
4,8,-69,-62,-74,-72,1
6,2,-74,-62,-61,-77,1
6,2,-59,-52,-56,-72,1
6,2,-69,-54,-55,-67,1
6,2,-68,-49,-58,-70,1
6,2,-68,-56,-64,-69,1
6,2,-69,-53,-50,-69,1
6,2,-68,-60,-62,-68,1
6,2,-67,-59,-60,-76,1
6,2,-69,-55,-61,-77,1
6,2,-68,-61,-56,-73,1
6,5,-72,-51,-66,-76,1
6,5,-58,-53,-55,-76,1
6,5,-70,-58,-62,-75,1
6,5,-71,-52,-63,-69,1
6,5,-65,-58,-53,-79,1
6,5,-70,-49,-52,-68,1
6,5,-72,-53,-52,-76,1
6,5,-70,-55,-57,-67,1
6,5,-62,-49,-62,-71,1
6,5,-71,-49,-56,-78,1
6,8,-64,-60,-55,-74,1
6,8,-65,-55,-54,-76,1
6,8,-67,-52,-60,-57,1
6,8,-64,-46,-58,-73,1
6,8,-63,-56,-63,-74,1
6,8,-70,-52,-54,-72,1
6,8,-72,-57,-57,-78,1
6,8,-63,-56,-71,-74,1
6,8,-64,-47,-60,-74,1
6,8,-65,-49,-58,-64,1
8,2,-70,-55,-62,-64,2
8,2,-79,-55,-55,-68,2
8,2,-75,-55,-61,-74,2
8,2,-59,-45,-61,-71,2
8,2,-71,-55,-65,-79,2
8,2,-72,-57,-67,-69,2
8,2,-65,-57,-65,-71,2
8,2,-65,-55,-67,-68,2
8,2,-69,-55,-57,-68,2
8,2,-71,-57,-67,-73,2
8,5,-74,-58,-71,-67,2
8,5,-68,-65,-63,-72,2
8,5,-71,-65,-68,-72,2
8,5,-70,-55,-69,-74,2
8,5,-75,-54,-65,-75,2
8,5,-72,-55,-57,-67,2
8,5,-73,-55,-58,-69,2
8,5,-72,-58,-67,-68,2
8,5,-71,-60,-67,-69,2
8,5,-70,-55,-58,-72,2
8,8,-67,-63,-71,-68,2
8,8,-72,-52,-68,-77,2
8,8,-67,-51,-70,-88,2
8,8,-69,-59,-75,-85,2
8,8,-60,-62,-67,-76,2
8,8,-62,-59,-62,-67,2
8,8,-64,-57,-67,-81,2
8,8,-65,-50,-59,-76,2
8,8,-67,-54,-65,-68,2
8,8,-70,-55,-60,-67,2
10,2,-75,-62,-70,-75,2
10,2,-81,-65,-61,-84,2
10,2,-86,-66,-60,-83,2
10,2,-85,-53,-67,-82,2
10,2,-85,-64,-69,-77,2
10,2,-83,-69,-74,-84,2
10,2,-83,-61,-64,-77,2
10,2,-82,-60,-69,-78,2
10,2,-84,-52,-73,-86,2
10,2,-83,-67,-72,-81,2
10,5,-62,-50,-70,-76,2
10,5,-62,-57,-65,-71,2
10,5,-63,-57,-64,-84,2
10,5,-69,-52,-72,-82,2
10,5,-61,-57,-71,-102,2
10,5,-64,-57,-72,-91,2
10,5,-63,-56,-63,-78,2
10,5,-67,-60,-73,-82,2
10,5,-62,-57,-63,-77,2
10,5,-69,-58,-66,-86,2
10,8,-58,-64,-57,-63,2
10,8,-58,-56,-65,-67,2
10,8,-64,-64,-60,-71,2
10,8,-71,-61,-64,-70,2
10,8,-60,-61,-57,-73,2
10,8,-54,-64,-67,-75,2
10,8,-55,-59,-59,-68,2
10,8,-56,-60,-66,-71,2
10,8,-70,-54,-67,-66,2
10,8,-57,-62,-66,-70,2
12,2,-71,-48,-72,-74,2
12,2,-72,-34,-66,-73,2
12,2,-73,-51,-73,-74,2
12,2,-65,-50,-71,-76,2
12,2,-69,-45,-71,-63,2
12,2,-72,-52,-64,-78,2
12,2,-72,-50,-66,-79,2
12,2,-67,-25,-73,-71,2
12,2,-70,-42,-77,-67,2
12,2,-61,-52,-83,-82,2
12,5,-73,-52,-63,-79,2
12,5,-66,-50,-68,-72,2
12,5,-76,-58,-72,-79,2
12,5,-67,-53,-60,-78,2
12,5,-69,-52,-63,-79,2
12,5,-71,-57,-68,-77,2
12,5,-68,-56,-81,-81,2
12,5,-70,-51,-61,-73,2
12,5,-68,-56,-69,-72,2
12,5,-59,-57,-74,-70,2
12,8,-74,-63,-61,-75,2
12,8,-70,-53,-66,-70,2
12,8,-64,-61,-64,-74,2
12,8,-65,-62,-59,-74,2
12,8,-65,-61,-59,-74,2
12,8,-69,-60,-62,-75,2
12,8,-60,-61,-67,-72,2
12,8,-65,-59,-60,-70,2
12,8,-63,-60,-66,-71,2
12,8,-64,-61,-65,-84,2
2,12,-63,-65,-81,-75,3
2,12,-59,-67,-78,-78,3
2,12,-64,-58,-80,-74,3
2,12,-63,-62,-84,-71,3
2,12,-58,-60,-71,-68,3
2,12,-63,-64,-70,-65,3
2,12,-64,-67,-73,-68,3
2,12,-58,-69,-69,-77,3
2,12,-59,-69,-76,-71,3
2,12,-55,-64,-74,-78,3
4,11,-59,-57,-68,-61,3
4,11,-69,-49,-68,-68,3
4,11,-62,-60,-66,-69,3
4,11,-63,-57,-73,-76,3
4,11,-67,-48,-73,-66,3
4,11,-60,-59,-70,-58,3
4,11,-62,-54,-61,-65,3
4,11,-67,-56,-67,-63,3
